"segment_id","time_cluster","start","end","n_records","start_x","start_y","length_max","length_min","delay_max","delay_min","absolute_speed_max","absolute_speed_min","absolute_speed_Q25","absolute_speed_Q50","absolute_speed_Q75","message","duration_hours","length_measured"
88,1,2017-01-01 00:00:00,2017-01-03 12:20:00,725,"4103193 4102706 4102811 4102231 4103370","5628546 5628377 5628425 5628209 5628568",5003,1467,383,133,39,26,26,32,34,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 2.8 km queuing traffic E20/M62 eastbound at Warrington 3.3 km slow traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 1.3 km queuing traffic",60.3,512.54148242115
90,1,2017-01-01 00:00:00,2017-01-01 23:55:00,274,"4103193 4102706 4102811","5628546 5628377 5628425",5003,2780,383,205,39,32,32,32,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 2.8 km queuing traffic",23.9,112.984728242573
91,1,2017-01-01 00:00:00,2017-01-01 23:55:00,274,"4103193 4102706 4102811","5628546 5628377 5628425",5003,2780,383,205,39,32,32,32,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 2.8 km queuing traffic",23.9,43.4841108028041
93,1,2017-01-01 00:00:00,2017-01-01 23:55:00,274,"4103193 4102706 4102811","5628546 5628377 5628425",5003,2780,383,205,39,32,32,32,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 2.8 km queuing traffic",23.9,196.747345575924
94,1,2017-01-01 00:00:00,2017-01-03 12:20:00,725,"4103193 4102706 4102811 4103696 4103370","5628546 5628377 5628425 5628610 5628568",5003,1467,383,133,39,26,26,32,35,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 2.8 km queuing traffic E20/M62 eastbound at Warrington 2.7 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 1.3 km queuing traffic",60.3,52.0417825673183
95,1,2017-01-01 00:00:00,2017-01-03 12:20:00,725,"4103193 4102706 4102811 4103696 4103370","5628546 5628377 5628425 5628610 5628568",5003,1467,383,133,39,26,26,32,35,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 2.8 km queuing traffic E20/M62 eastbound at Warrington 2.7 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 1.3 km queuing traffic",60.3,119.066659956641
96,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4103193 4102706","5628546 5628377",5003,4617,383,248,39,32,32,39,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic",14.1,173.579341227428
97,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4103193 4102706","5628546 5628377",5003,4617,383,248,39,32,32,39,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic",14.1,132.959572571631
98,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4103193 4102706","5628546 5628377",5003,4617,383,248,39,32,32,39,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic",14.1,49.602006759876
101,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4103193 4102706","5628546 5628377",5003,4617,383,248,39,32,32,39,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic",14.1,92.6658398802621
102,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4103193 4102706","5628546 5628377",5003,4617,383,248,39,32,32,39,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic",14.1,98.746285395312
103,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4103193 4102706","5628546 5628377",5003,4617,383,248,39,32,32,39,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic",14.1,35.5386789926312
104,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4103193 4102706","5628546 5628377",5003,4617,383,248,39,32,32,39,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic",14.1,119.511306049473
105,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4103193 4102706","5628546 5628377",5003,4617,383,248,39,32,32,39,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic",14.1,185.426271033756
107,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4103193 4102706","5628546 5628377",5003,4617,383,248,39,32,32,39,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic",14.1,398.633479637478
108,1,2017-01-01 00:00:00,2017-01-01 04:25:00,45,"4103193","5628546",5003,5003,383,383,32,32,32,32,32,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic",4.4,200.87386447443
109,1,2017-01-01 00:00:00,2017-01-01 04:25:00,45,"4103193","5628546",5003,5003,383,383,32,32,32,32,32,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic",4.4,71.8213231252529
110,1,2017-01-01 00:00:00,2017-01-01 04:25:00,45,"4103193","5628546",5003,5003,383,383,32,32,32,32,32,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic",4.4,18.1685353936074
